EmpID,Pay_Period,Work_Date,Hours_Worked,Hourly_Rate,Gross_Pay
1016,2025-01,2025-01-01,9.25,32,296.0
1016,2025-01,2025-01-02,8.9,32,284.8
1016,2025-01,2025-01-03,8.55,32,273.6
1016,2025-01,2025-01-06,8.72,32,279.04
1016,2025-01,2025-01-07,7.53,32,240.96
1016,2025-01,2025-01-08,7.75,32,248.0
1016,2025-01,2025-01-09,9.22,32,295.04
1016,2025-01,2025-01-10,9.58,32,306.56
1016,2025-01,2025-01-12,8.52,32,272.64
1016,2025-01,2025-01-13,9.0,32,288.0
1016,2025-01,2025-01-14,8.97,32,287.04
1016,2025-01,2025-01-15,7.95,32,254.4
1016,2025-01,2025-01-16,7.78,32,248.96
1016,2025-01,2025-01-17,9.65,32,308.8
1016,2025-01,2025-01-20,9.9,32,316.8
1016,2025-01,2025-01-21,8.9,32,284.8
1016,2025-01,2025-01-22,9.15,32,292.8
1016,2025-01,2025-01-23,9.1,32,291.2
1016,2025-01,2025-01-24,9.73,32,311.36
1016,2025-01,2025-01-25,8.83,32,282.56
1016,2025-01,2025-01-26,8.3,32,265.6
1016,2025-01,2025-01-27,8.35,32,267.2
1016,2025-01,2025-01-28,9.78,32,312.96
1016,2025-01,2025-01-29,9.68,32,309.76
1016,2025-01,2025-01-30,8.48,32,271.36
1016,2025-01,2025-01-31,9.37,32,299.84
1016,2025-01,2025-02-03,7.62,32,243.84
1016,2025-01,2025-02-04,9.23,32,295.36
1016,2025-01,2025-02-05,7.63,32,244.16
1016,2025-01,2025-02-06,8.33,32,266.56
1016,2025-01,2025-02-07,8.3,32,265.6
1016,2025-01,2025-02-10,9.88,32,316.16
1016,2025-01,2025-02-11,9.9,32,316.8
1016,2025-01,2025-02-12,8.93,32,285.76
1016,2025-01,2025-02-13,9.67,32,309.44
1016,2025-01,2025-02-14,8.65,32,276.8
1016,2025-01,2025-02-17,9.63,32,308.16
1016,2025-01,2025-02-18,8.78,32,280.96
1016,2025-01,2025-02-19,9.67,32,309.44
1016,2025-01,2025-02-20,8.8,32,281.6
1016,2025-01,2025-02-21,9.25,32,296.0
1016,2025-01,2025-02-24,8.28,32,264.96
