EmpID,Work_Date,Clock_Time,Attendance_Event,Exception_Type
2643,2025-01-01,07:59,Clock In,No Exception
2643,2025-01-01,16:06,Clock Out,No Exception
2643,2025-01-02,09:14,Clock In,No Exception
2643,2025-01-02,16:54,Clock Out,No Exception
2643,2025-01-03,09:23,Clock In,No Exception
2643,2025-01-03,18:51,Clock Out,No Exception
2643,2025-01-06,07:53,Clock In,No Exception
2643,2025-01-06,17:11,Clock Out,No Exception
2643,2025-01-07,09:11,Clock In,No Exception
2643,2025-01-07,17:12,Clock Out,No Exception
2643,2025-01-08,07:21,Clock In,No Exception
2643,2025-01-08,15:15,Clock Out,No Exception
2643,2025-01-09,09:59,Clock In,No Exception
2643,2025-01-09,18:36,Clock Out,No Exception
2643,2025-01-10,06:26,Clock In,No Exception
2643,2025-01-10,16:26,Clock Out,No Exception
2643,2025-01-13,07:25,Clock In,No Exception
2643,2025-01-13,15:40,Clock Out,No Exception
2643,2025-01-14,07:24,Clock In,No Exception
2643,2025-01-14,17:18,Clock Out,No Exception
2643,2025-01-15,08:32,Clock In,No Exception
2643,2025-01-15,16:46,Clock Out,No Exception
2643,2025-01-16,09:24,Clock In,No Exception
2643,2025-01-16,17:07,Clock Out,No Exception
2643,2025-01-17,08:54,Clock In,No Exception
2643,2025-01-17,18:53,Clock Out,No Exception
2643,2025-01-20,09:13,Clock In,No Exception
2643,2025-01-20,17:42,Clock Out,No Exception
2643,2025-01-21,08:18,Clock In,No Exception
2643,2025-01-21,17:21,Clock Out,No Exception
2643,2025-01-22,06:43,Clock In,No Exception
2643,2025-01-22,16:11,Clock Out,No Exception
2643,2025-01-23,07:57,Clock In,No Exception
2643,2025-01-23,16:58,Clock Out,No Exception
2643,2025-01-24,08:57,Clock In,No Exception
2643,2025-01-24,18:18,Clock Out,No Exception
2643,2025-01-27,07:45,Clock In,No Exception
2643,2025-01-27,15:53,Clock Out,No Exception
2643,2025-01-28,08:43,Clock In,No Exception
2643,2025-01-28,17:26,Clock Out,No Exception
2643,2025-01-29,08:04,Clock In,No Exception
2643,2025-01-29,16:39,Clock Out,No Exception
2643,2025-01-30,09:44,Clock In,No Exception
2643,2025-01-30,18:24,Clock Out,No Exception
2643,2025-01-31,08:03,Clock In,No Exception
2643,2025-01-31,15:55,Clock Out,No Exception
2643,2025-02-03,07:23,Clock In,No Exception
2643,2025-02-03,15:08,Clock Out,No Exception
2643,2025-02-04,06:22,Clock In,No Exception
2643,2025-02-04,14:55,Clock Out,No Exception
2643,2025-02-05,07:34,Clock In,No Exception
2643,2025-02-05,17:02,Clock Out,No Exception
2643,2025-02-06,07:11,Clock In,No Exception
2643,2025-02-06,15:03,Clock Out,No Exception
2643,2025-02-07,07:11,Clock In,No Exception
2643,2025-02-07,16:53,Clock Out,No Exception
2643,2025-02-10,07:10,Clock In,No Exception
2643,2025-02-10,16:18,Clock Out,No Exception
2643,2025-02-11,09:46,Clock In,No Exception
2643,2025-02-11,19:14,Clock Out,No Exception
2643,2025-02-12,06:14,Clock In,No Exception
2643,2025-02-12,14:41,Clock Out,No Exception
2643,2025-02-13,07:31,Clock In,No Exception
2643,2025-02-13,16:33,Clock Out,No Exception
2643,2025-02-14,08:56,Clock In,No Exception
2643,2025-02-14,16:46,Clock Out,No Exception
2643,2025-02-17,07:53,Clock In,No Exception
2643,2025-02-17,16:57,Clock Out,No Exception
2643,2025-02-18,07:58,Clock In,No Exception
2643,2025-02-18,16:30,Clock Out,No Exception
2643,2025-02-19,08:59,Clock In,No Exception
2643,2025-02-19,17:31,Clock Out,No Exception
2643,2025-02-20,07:39,Clock In,No Exception
2643,2025-02-20,17:01,Clock Out,No Exception
2643,2025-02-21,07:21,Clock In,No Exception
2643,2025-02-21,17:09,Clock Out,No Exception
2643,2025-02-24,09:25,Clock In,No Exception
2643,2025-02-24,17:02,Clock Out,No Exception
2643,2025-02-25,09:48,Clock In,No Exception
2643,2025-02-25,18:24,Clock Out,No Exception
2643,2025-02-26,06:09,Clock In,No Exception
2643,2025-02-26,14:07,Clock Out,No Exception
2643,2025-02-27,09:09,Clock In,No Exception
2643,2025-02-27,17:54,Clock Out,No Exception
2643,2025-02-28,06:30,Clock In,No Exception
2643,2025-02-28,15:23,Clock Out,No Exception
2643,2025-03-01,09:11,Clock In,No Exception
2643,2025-03-01,17:21,Clock Out,No Exception
3179,2025-01-01,09:58,Clock In,No Exception
3179,2025-01-01,18:31,Clock Out,No Exception
3179,2025-01-02,09:32,Clock In,No Exception
3179,2025-01-02,17:13,Clock Out,No Exception
3179,2025-01-03,09:27,Clock In,No Exception
3179,2025-01-03,18:35,Clock Out,No Exception
3179,2025-01-06,06:24,Clock In,No Exception
3179,2025-01-06,16:20,Clock Out,No Exception
3179,2025-01-07,08:05,Clock In,No Exception
3179,2025-01-07,17:52,Clock Out,No Exception
3179,2025-01-08,06:36,Clock In,No Exception
3179,2025-01-08,14:49,Clock Out,No Exception
3179,2025-01-09,08:55,Clock In,No Exception
3179,2025-01-09,16:42,Clock Out,No Exception
3179,2025-01-10,07:33,Clock In,No Exception
3179,2025-01-10,16:43,Clock Out,No Exception
3179,2025-01-13,09:50,Clock In,No Exception
3179,2025-01-13,17:45,Clock Out,No Exception
3179,2025-01-14,07:58,Clock In,No Exception
3179,2025-01-14,17:50,Clock Out,No Exception
3179,2025-01-15,08:54,Clock In,No Exception
3179,2025-01-15,17:23,Clock Out,No Exception
3179,2025-01-16,09:01,Clock In,No Exception
3179,2025-01-16,16:58,Clock Out,No Exception
3179,2025-01-17,06:01,Clock In,No Exception
3179,2025-01-17,15:41,Clock Out,No Exception
3179,2025-01-20,08:53,Clock In,No Exception
3179,2025-01-20,17:28,Clock Out,No Exception
3179,2025-01-21,07:42,Clock In,No Exception
3179,2025-01-21,16:11,Clock Out,No Exception
3179,2025-01-22,09:38,Clock In,No Exception
3179,2025-01-22,18:03,Clock Out,No Exception
3179,2025-01-23,06:40,Clock In,No Exception
3179,2025-01-23,14:28,Clock Out,No Exception
3179,2025-01-24,07:04,Clock In,No Exception
3179,2025-01-24,16:52,Clock Out,No Exception
3179,2025-01-27,07:27,Clock In,No Exception
3179,2025-01-27,15:59,Clock Out,No Exception
3179,2025-01-28,09:02,Clock In,No Exception
3179,2025-01-28,16:46,Clock Out,No Exception
3179,2025-01-29,07:39,Clock In,No Exception
3179,2025-01-29,17:04,Clock Out,No Exception
3179,2025-01-30,07:20,Clock In,No Exception
3179,2025-01-30,15:38,Clock Out,No Exception
3179,2025-01-31,06:37,Clock In,No Exception
3179,2025-01-31,14:34,Clock Out,No Exception
3179,2025-02-03,08:24,Clock In,No Exception
3179,2025-02-03,18:16,Clock Out,No Exception
3179,2025-02-04,06:21,Clock In,No Exception
3179,2025-02-04,15:57,Clock Out,No Exception
3179,2025-02-05,09:51,Clock In,No Exception
3179,2025-02-05,18:01,Clock Out,No Exception
3179,2025-02-06,06:37,Clock In,No Exception
3179,2025-02-06,15:14,Clock Out,No Exception
3179,2025-02-07,06:41,Clock In,No Exception
3179,2025-02-07,16:18,Clock Out,No Exception
3179,2025-02-08,09:18,Clock In,No Exception
3179,2025-02-08,17:02,Clock Out,No Exception
3179,2025-02-10,08:08,Clock In,No Exception
3179,2025-02-10,16:36,Clock Out,No Exception
3179,2025-02-11,07:15,Clock In,No Exception
3179,2025-02-11,16:47,Clock Out,No Exception
3179,2025-02-12,08:11,Clock In,No Exception
3179,2025-02-12,16:33,Clock Out,No Exception
3179,2025-02-13,09:47,Clock In,No Exception
3179,2025-02-13,17:17,Clock Out,No Exception
3179,2025-02-14,07:56,Clock In,No Exception
3179,2025-02-14,15:27,Clock Out,No Exception
3179,2025-02-16,09:58,Clock In,No Exception
3179,2025-02-16,18:11,Clock Out,No Exception
3179,2025-02-17,06:29,Clock In,No Exception
3179,2025-02-17,14:15,Clock Out,No Exception
3179,2025-02-18,07:05,Clock In,No Exception
3179,2025-02-18,16:50,Clock Out,No Exception
3179,2025-02-19,06:15,Clock In,No Exception
3179,2025-02-19,13:56,Clock Out,No Exception
3179,2025-02-20,08:01,Clock In,No Exception
3179,2025-02-20,17:04,Clock Out,No Exception
3179,2025-02-21,07:25,Clock In,No Exception
3179,2025-02-21,15:33,Clock Out,No Exception
3179,2025-02-24,07:11,Clock In,No Exception
3179,2025-02-24,16:27,Clock Out,No Exception
3179,2025-02-25,06:24,Clock In,No Exception
3179,2025-02-25,15:07,Clock Out,No Exception
3179,2025-02-26,06:13,Clock In,No Exception
3179,2025-02-26,13:44,Clock Out,No Exception
3179,2025-02-27,07:01,Clock In,No Exception
3179,2025-02-27,16:58,Clock Out,No Exception
3179,2025-02-28,07:47,Clock In,No Exception
3179,2025-02-28,17:47,Clock Out,No Exception
3179,2025-03-01,08:58,Clock In,No Exception
3179,2025-03-01,18:24,Clock Out,No Exception
2104,2025-01-01,07:10,Clock In,No Exception
2104,2025-01-01,15:11,Clock Out,No Exception
2104,2025-01-02,06:44,Clock In,No Exception
2104,2025-01-02,14:44,Clock Out,No Exception
2104,2025-01-03,07:35,Clock In,No Exception
2104,2025-01-03,15:41,Clock Out,No Exception
2104,2025-01-06,09:09,Clock In,No Exception
2104,2025-01-06,18:02,Clock Out,No Exception
2104,2025-01-07,09:41,Clock In,No Exception
2104,2025-01-07,18:03,Clock Out,No Exception
2104,2025-01-08,07:13,Clock In,No Exception
2104,2025-01-08,15:19,Clock Out,No Exception
2104,2025-01-09,06:29,Clock In,No Exception
2104,2025-01-09,14:29,Clock Out,No Exception
2104,2025-01-10,06:58,Clock In,No Exception
2104,2025-01-10,15:40,Clock Out,No Exception
2104,2025-01-13,06:42,Clock In,No Exception
2104,2025-01-13,14:50,Clock Out,No Exception
2104,2025-01-14,06:57,Clock In,No Exception
2104,2025-01-14,15:38,Clock Out,No Exception
2104,2025-01-15,07:20,Clock In,No Exception
2104,2025-01-15,16:09,Clock Out,No Exception
2104,2025-01-16,08:03,Clock In,No Exception
2104,2025-01-16,16:01,Clock Out,No Exception
2104,2025-01-17,07:50,Clock In,No Exception
2104,2025-01-17,16:52,Clock Out,No Exception
2104,2025-01-20,09:00,Clock In,No Exception
2104,2025-01-20,17:20,Clock Out,No Exception
2104,2025-01-21,06:38,Clock In,No Exception
2104,2025-01-21,15:31,Clock Out,No Exception
2104,2025-01-22,09:11,Clock In,No Exception
2104,2025-01-22,19:02,Clock Out,No Exception
2104,2025-01-23,08:47,Clock In,Device Failure
2104,2025-01-23,18:37,Clock Out,No Exception
2104,2025-01-24,09:06,Clock In,No Exception
2104,2025-01-24,18:26,Clock Out,No Exception
2104,2025-01-27,07:34,Clock In,No Exception
2104,2025-01-27,16:46,Clock Out,No Exception
2104,2025-01-28,06:26,Clock In,No Exception
2104,2025-01-28,16:11,Clock Out,No Exception
2104,2025-01-29,06:40,Clock In,No Exception
2104,2025-01-29,14:42,Clock Out,No Exception
2104,2025-01-30,06:37,Clock In,No Exception
2104,2025-01-30,14:44,Clock Out,No Exception
2104,2025-01-31,08:00,Clock In,No Exception
2104,2025-01-31,17:59,Clock Out,No Exception
2104,2025-02-02,09:33,Clock In,No Exception
2104,2025-02-02,17:58,Clock Out,No Exception
2104,2025-02-03,07:53,Clock In,No Exception
2104,2025-02-03,16:50,Clock Out,No Exception
2104,2025-02-04,08:38,Clock In,No Exception
2104,2025-02-04,17:21,Clock Out,No Exception
2104,2025-02-05,07:20,Clock In,No Exception
2104,2025-02-05,16:59,Clock Out,No Exception
2104,2025-02-06,09:31,Clock In,No Exception
2104,2025-02-06,18:07,Clock Out,No Exception
